DoctorID,FirstName,LastName,Specialization,Email,PhoneNumber
D0001,Laura,Garcia,Neurology,laura.garcia@example.com,555-02001
D0002,James,Hernandez,Neurology,james.hernandez@example.com,555-02002
D0003,Sarah,Williams,Oncology,sarah.williams@example.com,555-02003
D0004,Laura,Martinez,Pediatrics,laura.martinez@example.com,555-02004
D0005,David,Garcia,Oncology,david.garcia@example.com,555-02005
D0006,Robert,Garcia,Neurology,robert.garcia@example.com,555-02006
D0007,Maria,Williams,Cardiology,maria.williams@example.com,555-02007
D0008,David,Garcia,Cardiology,david.garcia@example.com,555-02008
D0009,Sarah,Martinez,Orthopedics,sarah.martinez@example.com,555-02009
D0010,Maria,Hernandez,Oncology,maria.hernandez@example.com,555-02010
D0011,Laura,Johnson,Neurology,laura.johnson@example.com,555-02011
D0012,James,Martinez,Orthopedics,james.martinez@example.com,555-02012
D0013,Sarah,Williams,Neurology,sarah.williams@example.com,555-02013
D0014,James,Martinez,Pediatrics,james.martinez@example.com,555-02014
D0015,Robert,Jones,Orthopedics,robert.jones@example.com,555-02015
D0016,Laura,Martinez,Pediatrics,laura.martinez@example.com,555-02016
D0017,Maria,Williams,Pediatrics,maria.williams@example.com,555-02017
D0018,Sarah,Johnson,Oncology,sarah.johnson@example.com,555-02018
D0019,Maria,Hernandez,Pediatrics,maria.hernandez@example.com,555-02019
D0020,Sarah,Jones,Pediatrics,sarah.jones@example.com,555-02020
D0021,David,Johnson,Cardiology,david.johnson@example.com,555-02021
D0022,David,Garcia,Pediatrics,david.garcia@example.com,555-02022
D0023,Laura,Johnson,Oncology,laura.johnson@example.com,555-02023
D0024,Laura,Hernandez,Neurology,laura.hernandez@example.com,555-02024
D0025,James,Jones,Orthopedics,james.jones@example.com,555-02025
D0026,David,Martinez,Cardiology,david.martinez@example.com,555-02026
D0027,Maria,Hernandez,Pediatrics,maria.hernandez@example.com,555-02027
D0028,Laura,Jones,Orthopedics,laura.jones@example.com,555-02028
D0029,Laura,Garcia,Orthopedics,laura.garcia@example.com,555-02029
D0030,Laura,Hernandez,Neurology,laura.hernandez@example.com,555-02030
D0031,Sarah,Williams,Oncology,sarah.williams@example.com,555-02031
D0032,David,Hernandez,Cardiology,david.hernandez@example.com,555-02032
D0033,Laura,Jones,Orthopedics,laura.jones@example.com,555-02033
D0034,Robert,Williams,Neurology,robert.williams@example.com,555-02034
D0035,Laura,Jones,Orthopedics,laura.jones@example.com,555-02035
D0036,Laura,Jones,Oncology,laura.jones@example.com,555-02036
D0037,Maria,Johnson,Oncology,maria.johnson@example.com,555-02037
D0038,Laura,Williams,Oncology,laura.williams@example.com,555-02038
D0039,Sarah,Martinez,Oncology,sarah.martinez@example.com,555-02039
D0040,Maria,Garcia,Oncology,maria.garcia@example.com,555-02040
D0041,Robert,Williams,Oncology,robert.williams@example.com,555-02041
D0042,Sarah,Martinez,Neurology,sarah.martinez@example.com,555-02042
D0043,Sarah,Hernandez,Orthopedics,sarah.hernandez@example.com,555-02043
D0044,James,Jones,Cardiology,james.jones@example.com,555-02044
D0045,Maria,Garcia,Cardiology,maria.garcia@example.com,555-02045
D0046,Robert,Martinez,Oncology,robert.martinez@example.com,555-02046
D0047,James,Johnson,Cardiology,james.johnson@example.com,555-02047
D0048,Maria,Hernandez,Pediatrics,maria.hernandez@example.com,555-02048
D0049,Maria,Williams,Orthopedics,maria.williams@example.com,555-02049
D0050,David,Hernandez,Pediatrics,david.hernandez@example.com,555-02050
D0051,David,Hernandez,Neurology,david.hernandez@example.com,555-02051
D0052,Sarah,Jones,Neurology,sarah.jones@example.com,555-02052
D0053,Laura,Garcia,Oncology,laura.garcia@example.com,555-02053
D0054,David,Hernandez,Cardiology,david.hernandez@example.com,555-02054
D0055,Maria,Martinez,Orthopedics,maria.martinez@example.com,555-02055
D0056,Laura,Garcia,Neurology,laura.garcia@example.com,555-02056
D0057,Sarah,Johnson,Oncology,sarah.johnson@example.com,555-02057
D0058,Sarah,Jones,Pediatrics,sarah.jones@example.com,555-02058
D0059,David,Jones,Oncology,david.jones@example.com,555-02059
D0060,Sarah,Garcia,Cardiology,sarah.garcia@example.com,555-02060
